All The Banned/OP Video Links:

No. is reference to what number it is on the document (below):
https://github.com/ureadmyname/basicBot-customization/blob/master/ExampleOPlist.json

______________________________________________________________________________________________________________________
No. Ref|Link:                                         |Song Name:                                                    |
|      |                                              |                                                              |
1.     |https://www.youtube.com/watch?v=pVLmZMjxfjw   |Eiffel 65 - Blue (KNY Factory Remix)                          |
2.     |https://www.youtube.com/watch?v=68ugkg9RePc   |Eiffel 65 - Blue (KNY Factory Remix)                          |
3.     |https://www.youtube.com/watch?v=Bznxx12Ptl0   |AronChupa - I'm an Albatraoz                                  |
4.     |https://www.youtube.com/watch?v=YJVmu6yttiw   |Skrillex - Bangarang feat. Sirah                              |
5.     |https://www.youtube.com/watch?v=WSeNSzJ2-Jw   |Skrillex - Scary Monsters And Nice Sprites                    |
6.     |https://www.youtube.com/watch?v=F21aifX0lZY   |Skrillex - Kill Everybody                                     |
7.     |https://www.youtube.com/watch?v=OQIjGh9s4eg   |Skrillex - Kill Everybody                                     |
8.     |https://www.youtube.com/watch?v=2cXDgFwE13g   |Skrillex - First Of The Year (Equinox)                        |
9.     |https://www.youtube.com/watch?v=GiyAJxacEo0   |Benny Benassi ft. Gary Go - Cinema (Skrillex Remix)           |
10.    |https://www.youtube.com/watch?v=MITA4FhVjDc   |Levels by Avicii (Skrillex Remix)                             |
11.    |https://www.youtube.com/watch?v=BGpzGu9Yp6Y   |Skrillex & Damian "Jr. Gong" Marley - Make It Bun Dem         |
12.    |https://www.youtube.com/watch?v=BUULBlDcju4   |Skrillex & The Doors - Breakn' A Sweat                        |
13.    |https://www.youtube.com/watch?v=vZv9-TWdBJM   |Dr. Dre - The Next Episode (San Holo Remix)                   |
14.    |https://www.youtube.com/watch?v=oIwFJNguQgY   |Yellow Claw - Shotgun ft. Rochelle                            |
15.    |https://www.youtube.com/watch?v=Kmj2tGZS7Ic   |Yellow Claw - Shotgun ft. Rochelle                            |
16.    |https://www.youtube.com/watch?v=Fczta5pF7-A   |Yellow Claw - Shotgun ft. Rochelle                            |
17.    |https://www.youtube.com/watch?v=bM7SZ5SBzyY   |Alan Walker - Fade                                            |
18.    |https://www.youtube.com/watch?v=FjNdYp2gXRY   |Ahrix - Nova                                                  |
19.    |https://www.youtube.com/watch?v=AOeY-nDp7hI   |Alan Walker - Spectre                                         |
20.    |https://www.youtube.com/watch?v=jK2aIUmmdP4   |Different Heaven & EH!DE - My Heart                           |
21.    |https://www.youtube.com/watch?v=zWknyL9MDW4   |Jay Z - Dirt Off Your Shoulder (Brillz & Z Trip Remix)        |
22.    |https://www.youtube.com/watch?v=1612_Y7N9x4   |Chief Keef - Love Sosa (RL Grime Remix)                       |
23.    |https://www.youtube.com/watch?v=CES32EOxiyw   |DJ Snake & Lil Jon - Turn Down For What (Onderkoffer Remix)   |
24.    |https://www.youtube.com/watch?v=HMUDVMiITOU   |DJ Snake, Lil Jon - Turn Down for What                        |
25.    |https://www.youtube.com/watch?v=eHz2w1cUjjE   |Waka Flocka - No Handz (CRNKN Remix)                          |
26.    |https://www.youtube.com/watch?v=q6-ZGAGcJrk   |Spooky Scary Skeletons (Remix)                                |
27.    |https://www.youtube.com/watch?v=5IOVkstxkdE   |Virtual Riot - Energy Drink                                   |
28.    |https://www.youtube.com/watch?v=7eZIbmq5Jiw   |Virtual Riot - Energy Drink                                   |
29.    |https://www.youtube.com/watch?v=VtKbiyyVZks   |Itro & Tobu - Cloud 9                                         |
30.    |https://www.youtube.com/watch?v=__CRWE-L45k   |Electro-Light - Symbolism                                     |
31.    |https://www.youtube.com/watch?v=gWapX12pHPQ   |DJ ASSASS1N - Frag Out                                        |
32.    |https://www.youtube.com/watch?v=CzCjMbYZWN8   |TheFatRat - Unity                                             |
33.    |https://www.youtube.com/watch?v=n8X9_MgEdCg   |TheFatRat - Unity                                             |
34.    |https://www.youtube.com/watch?v=ShLTI5xgoFA   |TheFatRat - Unity                                             |
35.    |https://www.youtube.com/watch?v=rVbfJ9rseMw   |TheFatRat - Unity                                             |
36.    |https://www.youtube.com/watch?v=f7RKOP87tt4   |Meg & Dia - Monster (DotEXE Remix)                            |
37.    |https://www.youtube.com/watch?v=szj59j0hz_4   |Galantis - Runaway (U & I)                                    |
38.    |https://www.youtube.com/watch?v=5XR7naZ_zZA   |Galantis - Runaway (U & I)                                    |
39.    |https://www.youtube.com/watch?v=ih2xubMaZWI   |OMFG - Hello                                                  |
40.    |https://www.youtube.com/watch?v=XRgiNUtJurk   |OMFG - Hello                                                  |
41.    |https://www.youtube.com/watch?v=HHkEdCm2t8s   |OMFG - Hello                                                  |
42.    |https://www.youtube.com/watch?v=0iFR754-E98   |Krewella- Come and Get It                                     |
43.    |https://www.youtube.com/watch?v=2LeKMGwNaqs   |Krewella - Come And Get It (Razihel Remix)                    |
44.    |https://www.youtube.com/watch?v=85UQsB9odZQ   |Krewella - Come And Get It (Razihel Remix)                    |
45.    |https://www.youtube.com/watch?v=A4QJkPg9Lc0   |Krewella- Come and Get It                                     |
46.    |https://www.youtube.com/watch?v=_8VWSC281j4   |Krewella - Come And Get It (Razihel Remix)                    |
47.    |https://www.youtube.com/watch?v=PEbJ4qLiMu0   |DJ Fresh - Gold Dust (Flux Pavilion Remix)                    |
48.    |https://www.youtube.com/watch?v=15C75nLdsdI   |OMFG - Hello                                                  |
49.    |https://www.youtube.com/watch?v=-WuU-ZhjvOc   |DJ Snake & Lil Jon - Turn Down For What (Onderkoffer Remix)   |
50.    |https://www.youtube.com/watch?v=y6120QOlsfU   |Darude - Sandstorm                                            |
51.    |https://www.youtube.com/watch?v=_ovdm2yX4MA   |Avicii - Levels                                               |
52.    |https://www.youtube.com/watch?v=iw4oRym4HSM   |Avicii - Levels                                               |
53.    |https://www.youtube.com/watch?v=dP6R-fSoFII   |Avicii - Levels                                               |
54.    |https://www.youtube.com/watch?v=9V9ILGzSQS4   |Avicii - Levels                                               |
55.    |https://www.youtube.com/watch?v=WO1L5M5yxXw   |Avicii - Levels                                               |
56.    |https://www.youtube.com/watch?v=O_SNQh6zuQo   |Avicii - Levels                                               |
57.    |https://www.youtube.com/watch?v=V5bYDhZBFLA   |Benny Benassi - Satisfaction                                  |
58.    |https://www.youtube.com/watch?v=r838pJCS2o0   |Benny Benassi - Satisfaction                                  |
59.    |https://www.youtube.com/watch?v=BH3MyvaLp3U   |Benny Benassi - Satisfaction                                  |
60.    |https://www.youtube.com/watch?v=b8qBUza1pO0   |Benny Benassi - Satisfaction                                  |
61.    |https://www.youtube.com/watch?v=qW7OiyPpVEU   |Benny Benassi - Satisfaction                                  |
62.    |https://www.youtube.com/watch?v=i9cwk1cbd_Q   |Benny Benassi - Satisfaction                                  |
63.    |https://www.youtube.com/watch?v=sOwG9d4W8oY   |Benny Benassi - Satisfaction                                  |
64.    |https://www.youtube.com/watch?v=FgWS7_CVTyw   |Cash Cash - Michael Jackson                                   |
65.    |https://www.youtube.com/watch?v=CZDqzXDMtJE   |Cash Cash - Michael Jackson                                   |
66.    |https://www.youtube.com/watch?v=UrsZnUlMuKU   |Cash Cash - Michael Jackson                                   |
67.    |https://www.youtube.com/watch?v=WRpvkGL3hQk   |Cash Cash - Michael Jackson                                   |
68.    |https://www.youtube.com/watch?v=ES5VpGOXfRs   |Cash Cash - Michael Jackson                                   |
69.    |https://www.youtube.com/watch?v=H2SnNZT4lJk   |Cash Cash - Michael Jackson                                   |
70.    |https://www.youtube.com/watch?v=85ftfVUTzM4   |Cash Cash - Overtime                                          |
71.    |https://www.youtube.com/watch?v=1lMVYkT03V0   |Cash Cash - Overtime                                          |
72.    |https://www.youtube.com/watch?v=eBApRi_1DUc   |Cash Cash - Overtime                                          |
73.    |https://www.youtube.com/watch?v=44ZqCEH1-XE   |Cash Cash - Overtime                                          |
74.    |https://www.youtube.com/watch?v=BAoErELBzYM   |Cash Cash - Overtime                                          |
75.    |https://www.youtube.com/watch?v=mp-IZEFqrG0   |Cazzette - Beam Me Up                                         |
76.    |https://www.youtube.com/watch?v=N2TzRqM2fKw   |Cazzette - Beam Me Up                                         |
77.    |https://www.youtube.com/watch?v=7QODOX7JNLk   |Cazzette - Beam Me Up                                         |
78.    |https://www.youtube.com/watch?v=kdemFfbS5H0   |The Chainsmokers - #SELFIE                                    |
79.    |https://www.youtube.com/watch?v=ZuwfZGDWOio   |The Chainsmokers - #SELFIE                                    |
80.    |https://www.youtube.com/watch?v=q7A6-Uyex8M   |The Chainsmokers - #SELFIE                                    |
81.    |https://www.youtube.com/watch?v=jpPwVodYgkI   |The Chainsmokers - #SELFIE                                    |
82.    |https://www.youtube.com/watch?v=uO59tfQ2TbA   |David Guetta - Hey Mama ft Nicki Minaj, Bebe Rexha & Afrojack |
83.    |https://www.youtube.com/watch?v=SO5HTgNZg_g   |David Guetta - Hey Mama ft Nicki Minaj, Bebe Rexha & Afrojack |
84.    |https://www.youtube.com/watch?v=KI6QH2b4fT8   |David Guetta - Hey Mama ft Nicki Minaj, Bebe Rexha & Afrojack |
85.    |https://www.youtube.com/watch?v=JC1ncyoYYjA   |David Guetta - Hey Mama ft Nicki Minaj, Bebe Rexha & Afrojack |
86.    |https://www.youtube.com/watch?v=K_yBUfMGvzc   |Deorro - Five Hours                                           |
87.    |https://www.youtube.com/watch?v=kMXxLFlnlic   |Deorro - Five Hours                                           |
88.    |https://www.youtube.com/watch?v=MF6JvbfYI-8   |Deorro - Five Hours                                           |
89.    |https://www.youtube.com/watch?v=o7V8dQqB6qk   |Deorro - Five Hours                                           |
90.    |https://www.youtube.com/watch?v=_fuQge1DS7M   |Deorro - Five Hours                                           |
91.    |https://www.youtube.com/watch?v=fhPTqbAfels   |Deorro - Five Hours                                           |
92.    |https://www.youtube.com/watch?v=jjmct_25TqE   |Deorro - Five Hours                                           |
93.    |https://www.youtube.com/watch?v=W0AIF9rLqf4   |Deorro - Five Hours                                           |
94.    |https://www.youtube.com/watch?v=Zy7kEG6g0rk   |Deorro - Five Hours                                           |
95.    |https://www.youtube.com/watch?v=_LmnkRzP3oM   |Diplo&GTA - Boy Oh Boy                                        |
96.    |https://www.youtube.com/watch?v=EUD39sJUue8   |Diplo&GTA - Boy Oh Boy                                        |
97.    |https://www.youtube.com/watch?v=KM1BpmJ_dkE   |Diplo&GTA - Boy Oh Boy                                        |
98.    |https://www.youtube.com/watch?v=HXPFyVjhDks   |Diplo&GTA - Boy Oh Boy                                        |
99.    |https://www.youtube.com/watch?v=hLkQmrYD7WQ   |Diplo&GTA - Boy Oh Boy                                        |
100.   |https://www.youtube.com/watch?v=d-8D57YlC-4   |Diplo&GTA - Boy Oh Boy                                        |
101.   |https://www.youtube.com/watch?v=cPqWrbatDAg   |Diplo&GTA - Boy Oh Boy                                        |
102.   |https://www.youtube.com/watch?v=fHYA3x9p1hk   |Diplo - Revolution (Gioni Remix)                              |
103.   |https://www.youtube.com/watch?v=I7wKUR1wPEk   |Diplo - Revolution (Gioni Remix)                              |
104.   |https://www.youtube.com/watch?v=tmPm5iYOklg   |Fetty Wap - Trap Queen (Crankdat Remix)                       |
105.   |https://www.youtube.com/watch?v=5egTeZlIeNE   |Fetty Wap - Trap Queen (Crankdat Remix)                       |
106.   |https://www.youtube.com/watch?v=kxMW6ZIvTts   |Fetty Wap - Trap Queen (Crankdat Remix)                       |
107.   |https://www.youtube.com/watch?v=Uof64nhTnd4   |Fetty Wap - Trap Queen (Crankdat Remix)                       |
108.   |https://www.youtube.com/watch?v=eU8RNbdgwI0   |Fetty Wap - Trap Queen (Crankdat Remix)                       |
109.   |https://www.youtube.com/watch?v=Pj71XuVi2xw   |Fetty Wap - Trap Queen (Crankdat Remix)                       |
110.   |https://www.youtube.com/watch?v=PnBYUPSfAKs   |Fetty Wap - Trap Queen (Crankdat Remix)                       |
111.   |https://www.youtube.com/watch?v=IQTzlGLvCAU   |Flo Rida - GDFR (K Theory Remix)                              |
112.   |https://www.youtube.com/watch?v=lk7miDRCLec   |Flo Rida - GDFR (K Theory Remix)                              |
113.   |https://www.youtube.com/watch?v=TkT1RmwTNmA   |Flo Rida - GDFR (K Theory Remix)                              |
114.   |https://www.youtube.com/watch?v=Cd8hgiLM8pw   |Flo Rida - GDFR (K Theory Remix)                              |
115.   |https://www.youtube.com/watch?v=S9YMBCvN778   |Flo Rida - GDFR (K Theory Remix)                              |
116.   |https://www.youtube.com/watch?v=4jBDnYE1WjI   |Galantis - Peanut Butter Jelly                                |
117.   |https://www.youtube.com/watch?v=H2n92fxYFHo   |Galantis - Peanut Butter Jelly                                |
118.   |https://www.youtube.com/watch?v=291zCkRuRls   |Galantis - Peanut Butter Jelly                                |
119.   |https://www.youtube.com/watch?v=EBJnVvItL3o   |Galantis - Peanut Butter Jelly                                |
120.   |https://www.youtube.com/watch?v=28capRrMBV0   |Galantis - Peanut Butter Jelly                                |
121.   |https://www.youtube.com/watch?v=-mF5LBKKdD8   |Galantis - Peanut Butter Jelly                                |
122.   |https://www.youtube.com/watch?v=KLt2-dukyi8   |Galantis - Peanut Butter Jelly                                |
123.   |https://www.youtube.com/watch?v=iDSI20P_eR4   |Galantis - Peanut Butter Jelly                                |
124.   |https://www.youtube.com/watch?v=-y11kJzwe4Y   |Galantis - You                                                |
125.   |https://www.youtube.com/watch?v=_snOoa8fR4s   |Galantis - You                                                |
126.   |https://www.youtube.com/watch?v=gAjR4_CbPpQ   |Daft Punk - Harder, Better, Faster, Stronger                  |
127.   |https://www.youtube.com/watch?v=GDpmVUEjagg   |Daft Punk - Harder, Better, Faster, Stronger                  |
128.   |https://www.youtube.com/watch?v=K2cYWfq--Nw   |Daft Punk - Harder, Better, Faster, Stronger                  |
129.   |https://www.youtube.com/watch?v=bl6RJyZdBSU   |Daft Punk - Harder, Better, Faster, Stronger                  |
130.   |https://www.youtube.com/watch?v=ThFnvjYYtFw   |Daft Punk - Harder, Better, Faster, Stronger                  |
131.   |https://www.youtube.com/watch?v=LFfS4p3Tl0k   |Daft Punk - Harder, Better, Faster, Stronger                  |
132.   |https://www.youtube.com/watch?v=hzExWz7KP5M   |Flux Pavillion - I Can't Stop                                 |
133.   |https://www.youtube.com/watch?v=3Q9rewnLFYw   |Flux Pavillion - I Can't Stop                                 |
134.   |https://www.youtube.com/watch?v=kv2ZpCyQSus   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
135.   |https://www.youtube.com/watch?v=xDqeU3vPwYo   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
136.   |https://www.youtube.com/watch?v=sFIDe7V_SPY   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
137.   |https://www.youtube.com/watch?v=5RjHEDFKLbE   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
138.   |https://www.youtube.com/watch?v=vpfw1T_yG6w   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
139.   |https://www.youtube.com/watch?v=gzmONLJsRU4   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
140.   |https://www.youtube.com/watch?v=5hEh9LiSzow   |Jetta - I'd Love to Change the World (Matstubs Remix)         |
